,question,correct,options
132,Which one of these two muscles is used when performing a back extension?,Erector Spinae + Multifidus,"['Loguissimus group + lliocostalis group', 'Erector Spinae + Multifidus', 'Spinalis + Quadratus Lumborum', 'Rectus abdominis + External Obliques']"
133,Which exercise can help to correct a kyphotic posture?,Strengthing the lower and middle portion of the trapezius,"['Stretching the lumbar multifidus', 'Stretching the thoracic portion of the erector spinae', 'Strengthing the lower and middle portion of the trapezius', 'Strengthening the pectoralis minor']"
134,Which one of these muscles is NOT used when performing a Toe Raise?,Tibialis Posterior,"['Tibialis Anterior', 'Exterior hallucis longus', 'Tibialis Posterior', 'Exterior digitorum longus']"
135,Which statement describes dendrites?,Tree like extensions that receive information,"['An elongated fibre that transmits information', 'The gap between the two nerve cells', 'Tree like extensions that receive information', 'Tree like extensions that send information to its adjacent cell body.']"
136,When performing a calf raise which are the two muscles are being used?,Gastrocnemius + Soleus,"['Soleus + Tensor fascia latae', 'Gastrocnemius + Glutemus Maximus', 'Gracilis + Pectineus', 'Gastrocnemius + Soleus']"
137,What are the characteristics of Type 2B muscle fibres?,"High force capacity, low mitochondria and low capillary density","['High force capacity, low mitochondria and high capillary density', 'Low force capacity, high mitochondria and high capillary density', 'High force capacity, low mitochondria and low capillary density', 'High force capacity, high mitochondria and low capillary density']"
138,When performing a Hip adduction exercise which one of these muscles is NOT being used?,Piriformis,"['Pectineus', 'Gracilis', 'Adductor Magnus', 'Piriformis']"
139,Which one of these is NOT  part of the coronary heart system?,Left coronary artery,"['Left coronary artery', 'Left anterior descending artery', 'Right coronary artery', 'Left circumflex artery']"
140,When performing a Hip abduction exercise which one of these muscles is NOT being used?,Gluteus Maximus,"['Gluteus Medius', 'Gluteus Maximus', 'Gluteus Minimus', 'Tensor Fascia Latae']"
141,Which term is used to describe the middle layer of a muscle?,Perimysium,"['Perimysium', 'Epimysium', 'Periosteum', 'Endomysium']"
142,When performing a shoulder press exercise which one of these muscles is NOT being used?,Biceps Brachii,"['Biceps Brachii', 'Deltoids', 'Trapezius', 'Pectoralis Major']"
143,Complete the sentence? The anaerobic threshold is described as the point at which                .......................................... than it can be cleared.,Lactate build-up occurs faster,"['Heat build-up occurs faster', 'Heat build-up occurs slower', 'Lactate build-up occurs slower', 'Lactate build-up occurs faster']"
144,When performing a heel drop exercise which one of these muscles is NOT being used?,Soleus,"['Semitendosus', 'Vastus medialis', 'Soleus', 'Rectus fermoris']"
145,What statement describes a short term effect of exercise?,A increase in systolic blood pressure related to exercise intensity,"['A decrease in stroke volume', 'A increase in systolic blood pressure related to exercise intensity', 'A increase in systolic blood pressure unrealted to exercise intensity', 'A decrease in systoliic blood pressure']"
146,When performing a Bridge exercise which one of these muscles is NOT being used?,Rectus fermoris,"['Semimembranosus', 'Rectus fermoris', 'Semitendosus', 'Bicep fermoris']"
147,  What is an alternative term for the semi-lunar valve?,Aortic valve,"['Tricuspid valve', 'Aortic valve', 'Artrioventricular Valves', 'Bicuspid valve']"
148,When performing a straight leg exercise which one of these  two muscles is  being used?,Rectus fermoris/ Illopsoas,"['Pirformis/ semitendosus', 'Bicep fermoris/ Gracilis', 'Lliacus/ semimembranosus', 'Rectus fermoris/ Illopsoas']"
149,Which one of the following valves prevents backflow of blood into the Right ventricle?,C,"['A', 'C', 'B', 'D']"
150,When performing a single leg mini squat exercise which one of these muscles is NOT being used?,Sartorius,"['Bicep Fermoris', 'Gastrocnemius', 'Sartorius', 'Gluteus Maximus']"
151,Which reaction is caused by the release of epinephrine?,Increased breathing rate,"['Increased breathing rate', 'Decreased heart rate', 'Decreased muscle mass', 'Increased body fat deposits']"
152,When performing a lunge exercise which one of these muscles is NOT being used?,Tensor fascia latae,"['Gluteus minimus', 'Lliopsoas', 'Tensor fascia latae', 'Soleus']"
153,What is pyruvic acid converted to when there is inadequate oxygen?,Lactic acid,"['Lactic acid', 'Carbon Dioxide', 'Aednosine Diphosphate', 'Creatine Phosphate']"
154,When performing a Seated Row exercise which one of these muscles is NOT being used?,Teres Major,"['Lattisimus Dorsi', 'Rhomboids', 'Trapezius', 'Teres Major']"
155,A benefit of core stability training is:,Improved balance,"['Increased cardiac output', 'Increased risk of joint laxity', 'Reduced bone density', 'Improved balance']"
156,When performing a Lat Pulldown exercise which one of these muscles is NOT being used?,Anterior Fibres of deltoids,"['Anterior Fibres of deltoids', 'Posterior Fibres of deltoids', 'Latissimus Dorsi', 'Rhomboids']"
157,Why is it important to maintain spine alignment when lifting equipment from the floor?,Reduced stress on ligaments,"['Reduced sacral curvature', 'Reduced stress on ligaments', 'Reduced pressure on nerves', 'Reduced pressure on joints']"
158,When performing a Assisted Chip ups exercise which one of these muscles is NOT being used?,Tricep brachii,"['Tricep brachii', 'Biceps brachii', 'Brachioradialis', 'Brachialis']"
159,Which statement best describes the endocrine system?,It is made up of glands which secrete hormones into the bloodstream to regulate the body,"['It is made up of muscles which allow movement of different parts of the body', 'It is made up of bones which provide support and protection to major organs', 'It is made up of glands which secrete hormones into the bloodstream to regulate the body', 'It is made up of neurons that transmit information between different parts of the body']"
160,When performing a crunch machine exercise which is the Only muscle being worked?,Rectus abdominus,"['Internal Obliques', 'Transverse abdominus', 'Rectus abdominus', 'External Obliques']"
161,In which anatomical plane does lordosis occur?,Sagittal,"['Frontal', 'Medial', 'Sagittal', 'Transverse']"
162,When performing a knee extension exercise which one of these muscles is NOT being used?,Pectineus,"['Rectus fermoris', 'Pectineus', 'Vastus intermedius', 'Sartorius']"
163,What is the name of the valve that is located between the right ventrcle  and right atrium?,Tricuspid,"['Bicuspid', 'Tricuspid', 'Aortic', 'Pulmonary']"
164,When performing a knee curl exercise which one of these muscles is NOT being used?,Rectus Fermoris,"['Bicep Fermoris', 'Semimembranosus', 'Rectus Fermoris', 'Semitendosus']"
165,Which activity will predominantly recruit 'slow oxidative' motor units?,Walking,"['Sprinting', 'Jogging', 'Walking', 'Jumping']"
166,When performing a Leg Press exercise which one of these muscles is NOT being used?,Gluteus medius,"['Gluteus medius', 'Rectus fermoris', 'Gluteus maximus', 'Bicep fermoris']"
167,"Which muscle is NOT part of the lower leg
 ",Biceps Femoris,"['Gastrocnemius', 'Soleus', 'Biceps Femoris', 'Tibialis anterior']"
168,When performing a chest press exercise which one of these muscles is NOT being used?,Posterior fibres of deltoid,"['Posterior fibres of deltoid', 'Pectoralis Major', 'Pectoralis Minor', 'Anterior fibres of deltoid']"
169,Which statement describes a motor unit?,A motor neuron and all of the muscle fibres to which it connects,"['A motor neuron that transmits information to the central nervous system', 'A sensory neuron that detects muscle movement', 'A group of muscles working together to create movement', 'A motor neuron and all of the muscle fibres to which it connects']"
170,When performing a pullover exercise which one of these muscles is NOT being used?,Pectoralis Minor,"['Triceps Brachii', 'Pectoralis Major', 'Latissimus Dorsi', 'Pectoralis Minor']"
171,Which of the following would speed up breathing rate?,Sympathetic action of the autonomic nervous system,"['Sympathetic action of the autonomic nervous system', 'Parasympathetic action of the somatic nervous system', 'Sympathetic action of the somatic nervous system', 'Parasympathetic action of the autonomic nervous system']"
172,When performing a pec fly exercise which one of these muscles is NOT being used?,Biceps Brachii,"['Anterior fibres of deltoid', 'Biceps Brachii', 'Pectoralis Minor', 'Pectoralis Major']"
173,Which quadricep muscle crosses two joints?,Rectus femoris,"['Rectus femoris', 'Vastus lateralis', 'Vastus medialis', 'Vastus intermedius']"
174,When performing a Bicep Curl exercise which one of these two muscles is  being used?,Biceps Brachii/ Brachialis,"['Brachioradialis/Biceps Brachii', 'Brachialis/ Brachioradialis', 'Biceps Brachii/Triceps Brachii', 'Biceps Brachii/ Brachialis']"
175,The structure of collagen fibres in a synovial joint capsule can be described as:,"Dense, elastic, irregular","['Dense, inelastic, irregular', 'Dense, inelastic, regular', 'Dense, elastic, irregular', 'Dense, elastic, regular']"
176,When performing a bench press exercise which one of these muscles is NOT being used?,Biceps Brachii,"['Biceps Brachii', 'Anterior Fibres of deltoid', 'Triceps Brachii', 'Pectoralis Minor']"
177,Which gland labelled below releases hormones that stimulate promotes growth in children and young adults,A,"['C', 'B', 'D', 'A']"
178,When performing a tricep press exercise which one of these two muscles is  being used?,Triceps Brachii/ Anterior fibres of deltoid,"['Triceps Brachii/ Anterior fibres of deltoid', 'Triceps Brachii/ Deltoids', 'Triceps Brachii/ Brachioradialis', 'Triceps Brachii/ Posterior fibres of deltoid']"
179,Arteriosclerosis can be defined as:,Diseases that cause hardening and loss of elasticity in arteries,"['Depositing of lipids in the arterial walls', 'Increased high density lipoprotein levels within the blood', 'Dilation of the aterial walls during aerobic activity', 'Diseases that cause hardening and loss of elasticity in arteries']"
180,When performing a assisted dips exercise which one of these two muscles is being used?,Triceps Brachii/ Pectoralis Major,"['Triceps Brachii/ Pectoralis Major', 'Triceps Brachii/ Pectoralis Minor', 'Biceps Brachii/ Pectoralis Minor', 'Biceps Brachii/ Pectoralis Major']"
181,Which part of the peripheral nervous system (PNS) is responsible for controlling voluntary muscular activity?,Somatic system,"['Somatic system', 'Autonomic system', 'Sympathetic system', 'Parasympathetic system']"
182,When performing a good morning exercise which one of these muscles is NOT being used?,Gluteus Medius,"['Biceps Fermoris', 'Semitendosus', 'Gluteus Maximus', 'Gluteus Medius']"
183,Which statement describes the action of supraspinatus?,Abduction of the shoulder in the frontal plane,"['Abduction of the shoulder in the transverse plane', 'Abduction of the shoulder in the frontal plane', 'External rotation of the humerus in the frontal plane', 'External rotation of the humerus in the frontal plane']"
184,When performing a single arm row exercise which one of these muscles is NOT being used?,Triceps Brachii,"['Triceps Brachii', 'Rhomboids', 'Trapezius', 'Biceps Brachii']"
185,Complete the sentence: The............................stimulates the relaxation of muscle during PNF stretching.,Golgi tendon organ,"['Baroreceptors', 'Golgi tendon organ', 'Muscle spindles', 'Efferent nerve']"
186,When performing a bent arm row exercise which one of these muscles is NOT being used?,Triceps Brachii,"['Trapezius', 'Triceps Brachii', 'Rhomboids', 'Biceps Brachii']"
187,What is the contractile unit of a muscle fibre?,Sarcomere,"['Sarcomere', 'Fascicle', 'Endomysium', 'Tendon']"
188,When performing a shoulder shrug exercise which one of these muscles is  being used?,Trapezius,"['Teres Minor', 'Teres Major', 'Rhomboids', 'Trapezius']"
189,Which muscle is involved in hip abduction?,Piriformis,"['Piriformis', 'Gracilis', 'Pectineus', 'Gastrocnemius']"
190,When performing a reverse fly exercise which one of these muscles is NOT being used?,Anterior fibres of deltoids,"['Anterior fibres of deltoids', 'Posterior fibres of deltoids', 'Trapezius', 'Rhomboids']"
191,Which of the following training methods is most effective for improving the efficiency of fat burning pathways? ,Long-duration continuous training,"['High-intensity Fartlek training', 'Anaerobic interval training', 'Short-duration continuous training', 'Long-duration continuous training']"
192,When performing a decline bench exercise which one of these muscles is NOT being used?,Biceps,"['Pectoralis Minor', 'Anterior Deltoid', 'Biceps', 'Triceps']"
193,What is the function of the semi-lunar valves?,They prevent backflow of blood into the ventricles,"['They prevent backflow of blood into the ventricles', 'They prevent backflow of blood into the Aorta', 'They prevent backflow of blood into the Pulmonary artery', 'They prevent backflow of blood into the Atria']"
194,When performing a press up on a bosu which one of these muscles is NOT being used?,Serratus posterior,"['Serratus anterior', 'Serratus posterior', 'Anterior fibres of deltoid', 'Triceps Brachii']"
195,"When performing a supine leg raise, what muscle is the prime mover? ",Psoas major,"['Psoas major', 'Gluteus maximus', 'Rectus abdominis', 'Vastus medialis']"
196,When performing a cable crossover exercise which one of these muscles is NOT being used?,Posterior fibres of deltoids,"['Pectoralis Minor', 'Anterior fibres of deltoids', 'Posterior fibres of deltoids', 'Pectoralis Major']"
197,Strengthening which muscles can help to correct lordosis? ,Muscles that tilt the pelvis backwards,"['Muscles that protract the scapula', 'Muscles that tilt the pelvis backwards', 'Muscles that tilt the pelvis forwards', 'Muscles that retract the scapula']"
198,When performing a straight leg dead lift exercise which one of these muscles is NOT being used?,Rectus Fermoris,"['Bicep Fermoris', 'Gluteus Maximus', 'Rectus Fermoris', 'Erector Spinae']"
199,What effect does atherosclerosis have on blood flow through arteries?,"It increases resistance to blood flow, thus increasing blood pressure","['It decreases resistance to blood flow, thus increasing blood pressure', 'It decreases resistance to blood flow, thus decreasing blood pressure', 'It increases resistance to blood flow, thus increasing blood pressure', 'It increases resistance to blood flow, thus decreasing blood pressure']"
200,Which of the following developmental postural adaptations has the greatest impact upon normal breathing patterns?,Kyphosis,"['Scoliosis', 'Kyphosis', 'Flat back', 'Lordosis']"
201,"For clients with mild hypertension, what type of training can lead to a long-term reduction in resting blood pressure? ",Cardiovascular,"['Flexibility', 'Cardiovascular', 'Motor skills', 'Muscular strength']"
202,Which of the following is a health risk associated with hypertension? ,Coronary heart disease,"['Osteoarthritis', 'Reduced bone density', 'Type 1 diabetes', 'Coronary heart disease']"
203,Which of the following is the smallest layer of connective tissue within skeletal muscle?,Endomysium,"['Perimysium', 'Endomysium', 'Periosteum', 'Epimysium']"
204,Which of the following will result in retraction of the shoulder girdle,Concentric contraction of the rhomboids,"['Concentric contraction of the Pectoralis Major', 'Eccentric contraction of the Pectoralis Major', 'Concentric contraction of the rhomboids', 'Eccentric contraction of the rhomboids']"
205,Which of the following describes the articulation at the pubis symphysis?,A cartilaginous joint with limited movement,"['A synovial joint with excessive movement', 'A cartilaginous joint with limited movement', 'A saddle joint with free movement', 'A fixed joint with no movement']"
206,What effect will long-term strength training have on type 2 muscle fibres? (,Hypertrophy,"['Hyperplasia', 'Hypertrophy', 'Articulation', 'Atrophy']"
207,Which of the following is an anterior skeletal muscle/muscle group?,Lliopsoas,"['Lliopsoas', 'Trapezius', 'Rhomboids', 'Triceps']"
208,Which of the following best describes coronary circulation?,Arteries carrying oxygenated blood from the aorta to the myocardium,"['Veins carrying oxygenated blood from the aorta to the myocardium', 'Arteries carrying oxygenated blood from the aorta to the myocardium', 'Arteries carrying de-oxygenated blood from the myocardium to the aorta', 'Veins carrying de-oxygenated blood from the myocardium to the aorta']"
209,Which exercise uses movement in the transverse plane?,Torso rotation,"['Side leg raise', 'Torso rotation', 'Bicep curl', 'Knee extension']"
210,When a muscle assists another muscle to allow movement to occur it is acting as a/an,Synergist,"['Fixator', 'Antagonist', 'Agonist', 'Synergist']"
211,Which of the following happen during a cardiovascular training session?,Stroke volume and cardiac output both increase,"['Stroke volume decreases and cardiac output increases', 'Stroke volume and cardiac output both decrease', 'Stroke volume and cardiac output both increase', 'Stroke volume increases and cardiac output decreases']"
212,Which of the following best describes the process of motor unit recruitment? ,An efferent nerve impulse triggers all of the fibres in the motor unit to contract,"['An afferent nerve impulse triggers all of the fibres in the motor unit to contract', 'An efferent nerve impulse triggers all of the fibres in the motor unit to contract', 'An efferent nerve impulse triggers some of the fibres in the motor unit to contract', 'An afferent nerve impulse triggers some of the fibres in the motor unit to contract']"
213,Which by-product of the energy systems can cause muscle fatigue?,Hydrogen-ions,"['Water', 'Hydrogen-ions', 'Carbon Dioxide', 'ADP']"
214,Which of the following is a 'Local' stabilising muscle of the spine?,Multifidus,"['External obliques', 'Multifidus', 'Rectus abdominis', 'Erector spinae']"
215,Which of the following is an example of a ball and socket joint?,Shoulder,"['Knee', 'Wrist', 'Shoulder', 'Ankle']"
216,Excessive abdominal adiposity is most associated with what type of postural deviation?,Lordosis,"['Spondylosis', 'Kyphosis', 'Lordosis', 'Scoliosis']"
217,Which of the following can cause the valsalva effect?,Holding breath during exertion,"['Exercising immediately after a meal', 'Holding breath during exertion', 'Long duration aerobic training', 'Holding breath during relaxation']"
218,What is arteriosclerosis?,A disease that causes hardening of the arteries,"['A disease that causes softening of the arteries', 'A disease that causes rupturing of the arteries', 'A disease that causes leaking of the arteries', 'A disease that causes hardening of the arteries']"
219,What type of stretching has the lowest risk of injury?,Static,"['Ballistic', 'Static', 'Dynamic', 'PNF']"
220,Decreased heart rate during exercise is brought about by which of the following?,Parasympathetic action of the autonomic nervous system,"['Parasympathetic action of the autonomic nervous system', 'Sympathetic action of the autonomic nervous system', 'Sympathetic action of the somatic nervous system', 'Parasympathetic action of the somatic nervous system']"
221,Where is the heart located?,Posterior to (behind) the sternum and just left of centre,"['Posterior to (behind) the sternum and just left of centre', 'Anterior to (in front of) the sternum and just right of centre', 'Anterior to (in front of) the sternum and just left of centre', 'Posterior to (behind) the sternum and just rightof centre']"
222,Which part of a long bone is the diaphysis?,The shaft,"['The outer membrane', 'The end', 'The shaft', 'The central canal']"
223,"As the agonist contracts, the antagonist muscle relaxes to allow movement. What is this occurrence known as? ",Reciprocal inhibition,"['Inverse stretch reflex', 'Reciprocal inhibition', 'Positive stretch reflex', 'Golgi tendon organ']"
224,Which of the following statements about type 1 muscle fibres is true?,They are slower to fatigue than type 2,"['They are white in colour', 'They have few mitochondria', 'They are slower to fatigue than type 2', 'They utilise the anaerobic energy system']"
225,What is the function of muscle spindle cells?,They respond to excessive lengthening of the muscle,"['They respond to excessive contraction of the muscle', 'They respond to excessive lengthening of the muscle', 'They respond to excessive heat within the muscle', 'They respond to excessive lactic acid within the muscle']"
226,What is the role of a motor unit?,To contract a group of muscle fibres in response to a nerve impulse,"['To contract a group of muscle fibres in response to a nerve impulse', 'To relax a single muscle fibre in response to a nerve impulse', 'To relax a group of muscle fibres in response to a nerve impulse', 'To contract a single muscle in response to a nerve impulse']"
227,Where are catecholamines produced?,Adrenal glands,"['Thyroid gland', 'Ovaries', 'Pancreas', 'Adrenal glands']"
228,Improved neuromuscular efficiency can lead to which of the following benefits?,Faster reaction times,"['Better cardiovascular fitness', 'Reduced risk of coronary heart disease', 'Increased bone density', 'Faster reaction times']"
229,What term means: 'maintaining balance or returning a system to functioning within its normal range'?,Homeostasis,"['Homeostasis', 'Hypertension', 'Glycolysis', 'Metabolism']"
230,Which of the following is a neuromuscular adaptation associated with training? ,Better inter-muscular coordination during movement,"['Increased need for conscious control of movement', 'Reduced frequency of nerve impulses to motor units', 'Unsynchronised recruitment of motor units', 'Better inter-muscular coordination during movement']"
231,Which hormone causes the conversion of glycogen to glucose to raise blood sugar level?,Glucagon,"['Glucagon', 'Oestrogen', 'Insulin', 'Testosterone']"
232,Which of the following best describes onset of blood lactate accumulation (OBLA)?,The intensity at which lactate is being produced in the muscles faster than it can be cleared,"['The intensity at which lactic acid in the muscles reduces and the aerobic system starts to contribute energy.', 'The intensity at which lactate is first produced in the muscles.', 'The intensity at which lactate is being produced in the muscles faster than it can be cleared', 'The intensity at which the lactic acid system provides all of the energy being used.']"
233,What structures within skeletal muscle tissue bring about contraction?,Actin and myosin filaments,"['Actin and myosin filaments', 'Regular collagen fibres', 'Tendon and fascia', 'Epimysium and perimysium']"
234,What is the function of the aortic valve?,It prevents backflow of blood into the left ventricle,"['It prevents backflow of blood into the left ventricle', 'It prevents backflow of blood into the right ventricle', 'It prevents backflow of blood into the right atrium', 'It prevents backflow of blood into the left atrium']"
235,Optimal systolic blood pressure is considered to be,120mmHg,"['90mmHg', '120mmHg', '140mmHg', '160mmHg']"
236,Where is the origin of the rectus abdominis?,Pubis,"['Femur', 'Sternum', 'Pubis', 'Lower Ribs']"
237,Through which axis must the elbow rotate to enable you to turn your palm upward,Medial-lateral axis,"['Longitudinal axis', 'Anterior-posterior axis', 'Transverse axis', 'Medial-lateral axis']"
238,"When the pectoralis major contracts concentrically, which action takes place at the shoulder?",Horizontal flexion,"['Lateral flexion', 'Elevation', 'Horizontal flexion', 'Retraction']"
239,When in a standing position which movement occurs at the shoulder joint whilst reaching towards the ceiling?,Flexion,"['Flexion', 'Retraction', 'Protraction', 'Extension']"
240,During the downward phase of a squat which movement occurs at the hip?,Flexion,"['Plantar flexion', 'Flexion', 'Lateral flexion', 'Horizontal flexion']"
241,A posterior disc bulge is more likely to be aggravated by,Spinal flexion,"['Spinal extension', 'Spinal flexion', 'Shoulder extension', 'Planar flexion']"
242,A single motor unit ,Can't vary the force it generates,"['Frequently varies the force it generates', ""Can't vary the force it generates"", 'Can increase the force it generates', 'Can decrease the force it generates']"
243,Which of the following lists only contains endocrine glands?,"Pancreas, pituitary and thyroid","['Pancreas, thyroid and ovaries', 'Pituitary, pancreas and testes', 'Ovaries, pancreas and pituitary', 'Pancreas, pituitary and thyroid']"
244,Which of the following hormones helps to maintain basal metabolic rate?,Thyroid hormone,"['Thyroid hormone', 'Cortisol', 'Oestrogen', 'Growth hormone']"
245,Which muscle is NOT contained in the hamstring group?,Gracillis,"['Biceps fermoris', 'Semitendinosus', 'Semimembranosus', 'Gracillis']"
246,Which muscle does NOT belong to the muscles of the arm,Teres Major,"['Brachialis', 'Tricep Brachii', 'Teres Major', 'Brachioradialis']"
247,Which muscle IS part of the rotator cuff muscles,Teres Minor,"['Deltoids', 'Teres Major', 'Serratus Anterior', 'Teres Minor']"
248,Which element is most important for the process muscle contraction for the sliding filament theory,Calcium,"['Oxygen', 'Iron', 'Calcium', 'Adempsome Diphosphate']"
249,What does the node of a ranvier do?,Allows nutrients and waste products to enter and leave the cell,"['Tree-like extensions that receive infomation from other neurons and send those messages to the cell body', 'Acts as an insulator so that electrical messages can be sent quickly and easily', 'Allows nutrients and waste products to enter and leave the cell', 'Contains hundreds of sacs containing different chemicals called neurotransmitters']"
250,Which gland can only produce thyroxine?,Thyroid,"['Parathyroid', 'Pancreas', 'Hypothalamus', 'Thyroid']"
251,What are peptides made from?,Proteins,"['Fats', 'Proteins', 'Carbohydrates', 'Testosterone']"
252,Which does sympathetic nerves does NOT do?,Vasodilation of the arteries and arterioles to increase blood pressure,"['Increase mobilisation of energy stores', 'Vasodilation of the arteries and arterioles to increase blood pressure', 'Increase breathing rate', 'Increase heart rate']"
253,What joint action does the brachialis achieve?,Flexes the elbow,"['Flexes the elbow', 'Extension of the elbow', 'Flexion when the forearm is semi-pronated.', 'Assists in flexion of the shoulder']"
254,Which description of the vertical column is NOT true.,The cervical curve is a concave structure,"['The sacral curve is a concave strucutre', 'The thoracic curve is a concave structure', 'The lumbar curve is a convex structure', 'The cervical curve is a concave structure']"
255,What does the myelin sheath do?,It acts as an insulator so that electrical messages can be sent quickly and easily,"['It acts as an insulator so that electrical messages can be sent quickly and easily', 'Tree-like extensions that receive information from other neurons and send messages to the cell body', 'Contains the nucleus', 'Allows nerve impulses to move along the neuron through the process of depolarisation and repolarisation']"
256,What does an axon terminal do?,It contains hundreds of sacs containing different chemicals called neurotransmitters,"['It contains hundreds of sacs containing different chemicals called neurotransmitters', 'Allows nutrients and waste products to enter/leave the cell', 'It is an elongated fibre that transmits infomation to the cell body', 'It is an elongated fibre that transmits infomation away the cell body']"
257,What does a parasympathetic nerve NOT do.,Vasoconstriction of the arteries and arterioles to decrease blood pressure.,"['Decrease breathing rate', 'Decrease heart rate', 'Decrease in the mobilisation of energy stores.', 'Vasoconstriction of the arteries and arterioles to decrease blood pressure.']"
258,Which sensory receptor detects changes in temperature?,Thermoreceptors,"['Baroreceptors', 'Proprioceptors', 'Chemoreceptors', 'Thermoreceptors']"
259,Which system is NOT used in core stability,Biological control,"['Passive system', 'Neural control', 'Active system', 'Biological control']"
260,Which description of the male pelvis is false?,Large Q angle between hip and knee joints allowing more efficient transfer of force between the hip and knee joints,"['Pelvthe position of the acetabulum is almost vertical', 'Large Q angle between hip and knee joints allowing more efficient transfer of force between the hip and knee joints', 'Narrow, shallow heart shaped pelvic bowl', 'Pelvic angle is almost vertical']"
261,Which part of the female pelvis is false ,Smaller Q between hip and knee joints causing less efficient transfer of force between hip and knee,"['Smaller Q between hip and knee joints causing less efficient transfer of force between hip and knee', 'Pelvic angle tilts anteriorly', 'Deeper, wider oval shaped pelvic bowl', 'Greater curvature in the sacrum']"
262,What joint action is required to move the thumb to the fingers?,Opposition,"['Eversion', 'Rotation', 'Opposition', 'Inversion']"
263,Which joint movement is responsible for turning the soles of your feet inwards and outwards,Inversion and eversion,"['Circumduction and eversion', 'Inversion and eversion', 'Elevation and depression', 'Inversion and Opposition']"
264,Which plane of movement does shoulder shrugs use?,Frontal,"['Frontal', 'Unilateral', 'Tranverse', 'Sagital']"
265,Which muscle in the lower leg crosses two joints?,Gastrocnemius,"['Tibialis anterior', 'Semimembranousus', 'Soleus', 'Gastrocnemius']"
266,Which muscles in the pelvic girdle crosses the hip and knee via the illotibial tract/band?,Tensor fascia latae,"['Piriformis', 'Pectineus', 'Tensor fascia latae', 'Illacus']"
267,Which anterior abdominal wall muscle joint action allows the pelvis to tilt backwards?,Rectus abdominis,"['Internal Obliques', 'Rectus abdominis', 'External Obliques', 'Transverse Abdominis']"
268,Which erector spinae muscle joint action assists in rotation of the vertebral column (unilaterally)?,Multifidus,"['Quadratus lumborum', 'Longuissimus group', 'Lliocostalis group', 'Multifidus']"
269,Which muscle in the arm joint action allows the extension of the elbow to take place?,Tricep brachii,"['Biceps brachii', 'Tricep brachii', 'Brachioradialis', 'Brachialis']"
270,Complete the following sentence ''The transport of Sodium and ............. ions in and out of the neuron is known as the sodium..................... pump?,Potassium,"['Potassium', 'Magnesium', 'Calcium', 'Lithium']"
271,"''When it is at rest, a neuron membrane is positively charged on the outside compared to the muscle'' The difference in charged is called?",Action Potential,"['Positive Potential', 'Action Potential', 'Inverse Potential', 'Electrical Potential']"
272,A Cell Body does?,Contains the nucleus,"['Contains hundreds of sacs', 'Contains the nucleus', 'Allows nutrients and waste products to enter/leave the cell', 'Contains an elongated fibre that transmits information to the cell body']"
273,Which one of these functions is NOT part of the nervous system?,Biological Input,"['Sensory Input', 'Motor Output', 'Interpreation', 'Biological Input']"
274,Which sensor receptor is the ONLY one that's under the somatic System?,Proprioceptors,"['Baroreceptors', 'Termoreceptors', 'Proprioceptors', 'Chemoreceptors']"
275,The Artioventricular valves are connected to the ventricle walls with?,Collagen cords,"['Collagen cords', 'Smooth cords', 'Muscle cords', 'Cardiac cords']"
276,When heart valves become damaged causing them to stiffen and narrow is called?,Stenosis,"['Angina', 'Stenosis', 'Diabetes', 'Coronary Heart disease']"
277,Atheroscolerosis is a disease that causes the arteries to?,Narrowing and become rough due to LDL(lipids) being deposited in the lining of the artery walls,"['Decreasing in blood pressure and loss of elasticity of the artery walls', 'Narrowing and become rough due to LDL(lipids) being deposited in the lining of the artery walls', 'Hardening and loss of elasticity of the artery walls.', 'Narrowing and become rough due to HDL(lipids) being deposited in the lining of the artery walls']"
278,Which risk  is a Non-Lifestyle factor that can affect an individual's risk of developing circulatory disease?,Family History,"['Stress', 'Family History', 'Physical Inactivity- sedentary liftstyle', 'Hypertension']"
279,A reading of <90 systolic over <60 diastolic is a classification of which blood pressure?,Hypotension,"['Pre-high Blood pressure', 'Hypertension', 'Hypotension', 'Normal']"
280,A reading of 120-140 systolic over 80-90 diastolic is classifed as which blood pressure measurement,Pre-high blood pressure,"['Severe Hypertension', 'Pre-high blood pressure', 'Hypertension', 'Hypotension']"
281,What is the systolic and diastolic reading needed to classify a cilent with hypertension?,>140 over >90,"['', '> 160 over >100', '>140 over >90', '90-120 over 60-80']"
282,What is tidal volume?,The amount of air moved in and out of the lungs in one breath,"['The amount of air moved in and out of the lungs in one breath', 'The amount of air moved in and out of the lungs in 60 seconds of breathing', 'The amount of air that can be forcefully inhaled and exhaled in one breath', 'The amount of air that can be forcefully inhaled and exhaled in 60 seconds of breathing']"
283,What is residual volume?,The amount of air left in the lungs after exhalation,"['The amount of air left in the lungs after exhalation', 'The amount of air left in the lungs after excerising', 'The amount of air left in the lungs after inhalation', 'The amount of air left in the lungs after relaxing']"
284,What is vital capacity?,The maximum amount of air that can be forcefully inhaled and exhaled in one breath,"['The maximum amount of air that is left in the lungs after exhalation in one breath', 'The maximum amount of air that can be forcefully inhaled and exhaled in one breath', 'The maximum amount of air that can be forcefully inhaled and exhaled in 60 seconds', 'The maximum amount of air that is left in the lungs after inhalation in one breath']"
